,Q1A,Q1B,Q1C,Q1D,Q1E,Q3,Q5B,Q6,Q7,Q11A,Q12,Q13A,Q13B,Q13C,Q14A,Q14B,Q14C,Q14D,Q14E,Q16,Q17,Q21A,Q21D,Q24A,Q27C,Q30,Q34,Q35,Q41B
97,1,1,2,2,-2,-1,2,1,1,1,0,1,1,-1,1,-1,1,1,1,1,-1,1,1,-1,2,0,-1,0.5,-1
98,1,2,-1,2,-1,1,1,-1,0,0,-1,1,1,1,-1,1,1,1,1,1,1,0,0,-1,1,-1,0,4,0
99,-1,1,2,2,1,1,1,1,1,1,1,1,1,-1,1,1,1,-1,-1,1,-1,1,-1,-1,1,0,1,0.5,0
100,2,1,-1,-1,1,1,2,1,1,1,-1,1,1,1,1,1,1,-1,1,1,-1,1,1,2,2,0,1,0.5,1
101,2,1,2,2,2,1,2,-1,0,0,-1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,-1,0,1,0
102,1,-1,2,2,-1,1,1,-1,0,0,1,1,1,-1,-1,1,1,-1,1,1,-1,0,0,2,2,-1,0,0,0
103,1,1,2,-1,-1,0,2,1,2,0,0,1,1,-1,1,1,1,1,1,1,0,0,0,1,-1,0,1,0,-1
104,1,1,-2,2,2,-1,1,-1,0,0,-1,1,-1,-1,-1,1,1,1,1,1,1,0,0,-2,-1,-1,1,5,-1
105,2,-1,1,-1,2,1,-1,-1,0,0,-1,1,1,-1,-1,1,1,1,1,1,1,0,0,-1,2,-1,0,3,-1
106,-1,2,1,2,-2,-1,2,1,2,0,-1,-1,-1,-1,1,1,1,1,1,1,1,0,0,1,1,-1,-1,0.5,0
107,-2,-2,2,1,1,-1,1,1,2,0,1,1,-1,-1,1,1,1,1,-1,1,-1,0,0,1,1,1,1,2,-1
108,2,2,2,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,3,0
109,1,2,1,1,1,1,1,-1,0,0,-1,1,1,-1,1,1,1,1,1,1,1,0,0,1,1,0,1,4,0
110,1,2,2,-1,-1,-1,1,1,2,0,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,0,0,2,-1,0,1,2,-1
111,1,1,2,2,2,1,2,1,2,0,-1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,-1
112,1,1,2,2,2,1,2,1,2,0,0,1,1,0,1,1,1,1,1,1,1,0,0,2,2,0,-1,0.5,-1
113,2,2,2,1,2,1,2,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,0,0,1,2,0,1,2,0
114,1,2,2,2,2,1,2,-1,0,0,-1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,-1,0,0,-1
115,-2,1,2,2,-1,-1,2,1,1,-1,1,1,-1,-1,1,-1,1,-1,-1,-1,-1,1,1,1,1,0,1,2,-1
116,1,1,2,1,-2,1,2,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,1,-1,1,-1
117,2,2,-1,2,2,1,2,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,0,0,2,-1,0,1,3,0
118,1,2,1,2,2,1,1,1,2,0,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,0,0,2,-1,1,1,2,-1
119,1,2,-1,-1,1,1,-1,1,1,-1,0,1,1,-1,1,1,1,1,1,1,1,0,0,1,1,0,1,4,-1
120,2,1,1,2,2,1,-2,1,1,1,1,1,1,-1,1,1,1,-1,1,-1,1,1,1,-2,-2,0,1,2,0
121,-1,1,2,2,1,1,2,1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,0,0,1,1,0,1,0.5,-1
122,2,1,2,2,1,1,2,1,1,1,-1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,-1,-1,0.5,-1
123,1,2,2,1,1,1,1,-1,0,0,0,1,1,1,1,1,1,1,1,1,-1,0,0,1,1,-1,0,3,0
124,2,1,-1,2,2,1,-1,-1,0,0,-1,1,1,-1,0,0,1,-1,1,-1,-1,0,0,1,1,0,0,0.5,0
125,2,2,2,2,-1,-1,-1,1,2,0,1,1,-1,-1,1,1,1,-1,-1,1,-1,0,0,1,1,0,1,0.5,0
126,1,0,2,2,2,1,2,1,1,1,-1,1,1,-1,1,1,1,1,1,1,-1,1,-1,1,1,1,1,5,0
127,-1,-1,2,2,-1,0,2,1,2,0,0,1,1,-1,1,1,1,-1,1,1,-1,0,0,-1,-1,0,-1,0.5,-1
128,2,2,2,1,2,1,2,1,1,1,-1,1,1,-1,0,1,1,-1,1,1,-1,1,-1,1,1,0,0,0,-1
129,1,1,2,1,1,-1,1,-1,0,0,-1,1,1,1,-1,1,1,-1,1,1,-1,0,0,1,1,-1,0,0,0
130,1,2,-1,2,1,1,2,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,2,2,-1,1,2,1
131,1,1,1,1,-1,1,1,-1,0,0,0,1,1,-1,1,1,1,1,1,-1,1,0,0,1,1,-1,0,0,0
132,2,1,2,-1,2,1,1,1,1,1,0,1,1,1,-1,1,1,1,1,1,1,-1,-1,1,-2,0,1,2,-1
133,1,1,1,2,1,1,2,1,2,0,-1,1,1,1,1,1,1,1,1,1,1,0,0,-1,1,0,1,0.5,-1
134,1,-1,2,1,1,1,-1,0,0,0,-1,1,1,-1,0,1,1,1,1,1,1,0,0,-2,1,1,0,2,1
135,-1,2,1,-1,2,1,1,1,1,-1,-1,1,1,-1,-1,1,1,1,1,1,1,0,0,1,1,0,1,3,0
136,2,1,1,1,2,1,-1,1,1,-1,1,1,1,-1,-1,1,1,-1,-1,1,-1,0,0,2,2,0,1,4,-1
137,1,2,2,2,1,1,2,1,1,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,1,-1,1,-1,0,1,2,0
138,-1,1,2,1,-1,1,2,1,2,0,-1,1,1,1,1,1,1,-1,-1,1,-1,0,0,-1,1,0,1,0.5,-1
