,Q13C,Q18AA,Q18AB,Q20,Q21,Q22,Q23A,Q23B,Q23C,Q23D,Q24,Q25,Q26,Q27,Q29,Q29A,Education,AgeCat,PoliticalPartyAffiliation,Income,PoliticsGeneral,10
662,-10,10,10,10,8,10,10,10,10,10,10,10,0,10,10,10,16,21,8,35,10,10
663,0,10,10,10,10,8,-10,10,10,10,-10,10,0,10,-10,0,8,59.5,-10,0,0,-10
664,0,8,10,10,8,10,0,0,0,-10,-10,10,0,10,10,10,13,70,10,35,0,10
665,10,10,10,10,8,10,10,-10,-10,10,10,10,0,10,10,10,16,29.5,8,120,0,10
666,-10,10,10,10,-10,10,10,10,10,10,-10,-10,10,0,10,-10,12,49.5,0,62.5,0,10
667,0,8,10,10,10,8,0,10,10,10,0,-10,10,0,10,10,10,29.5,0,25,10,0
668,0,10,10,10,8,8,0,10,0,0,0,0,0,0,10,10,13,49.5,-10,120,0,10
669,10,-8,10,-10,-10,-10,10,-10,-10,-10,0,-10,0,0,-10,0,14,70,-10,82.5,-10,10
670,0,-8,10,-10,-10,-10,10,10,10,10,0,-10,10,0,-10,0,13,49.5,-10,20,-10,-8
671,0,10,10,10,8,8,10,10,10,10,-10,10,0,10,10,10,16,59.5,0,120,0,10
672,10,8,10,-10,-10,0,10,10,10,10,10,-10,0,0,10,10,20,29.5,0,62.5,-10,0
673,10,10,10,10,8,10,10,10,10,10,-10,10,0,10,10,10,20,21,10,120,0,0
674,0,8,-8,-10,8,-8,10,10,10,10,-10,-10,-10,0,10,10,16,49.5,-8,120,-10,10
675,10,10,10,10,-10,8,10,10,10,10,-10,10,0,10,10,10,13,49.5,10,120,-10,10
676,10,-8,10,-10,-10,8,10,10,-10,10,10,10,0,10,10,-10,13,70,-10,45,-10,10
677,-10,-8,8,10,-10,10,10,10,10,10,10,-10,-10,0,-10,0,12,49.5,-8,62.5,-10,-10
678,-10,10,10,10,8,10,10,10,10,10,0,10,0,10,10,10,20,49.5,10,120,10,10
679,0,-10,10,-10,-10,10,10,10,10,10,0,10,0,10,10,10,13,29.5,-10,45,0,0
680,10,-8,8,-10,-10,-10,10,10,10,10,-10,10,0,-10,10,10,13,39.5,0,62.5,0,10
681,0,8,8,10,8,8,0,10,10,10,0,10,0,10,10,10,12,49.5,8,120,0,-10
682,0,10,10,10,8,10,10,10,10,10,-10,10,0,10,10,10,16,29.5,10,62.5,10,0
683,10,8,-8,-10,-10,-10,10,10,10,10,10,10,0,-10,10,10,20,29.5,-8,0,0,0
684,10,10,10,10,-10,10,10,10,10,10,0,10,0,10,10,0,16,59.5,10,45,10,-10
685,0,-10,10,-10,-10,-10,10,-10,-10,10,-10,-10,10,0,10,10,20,49.5,-10,62.5,-10,-10
686,-10,10,10,10,0,10,-10,10,10,10,-10,10,0,10,10,10,14,70,8,35,0,-10
687,0,10,10,10,8,10,10,10,10,10,10,10,0,10,10,10,20,59.5,10,120,10,10
688,0,10,10,10,0,10,10,-10,-10,10,-10,10,0,10,10,10,16,70,8,120,10,8
689,-10,10,10,10,8,10,10,10,10,10,-10,-10,10,0,10,-10,16,59.5,-8,45,-10,10
690,-10,8,10,10,10,10,10,10,10,10,10,10,0,10,10,10,16,21,10,35,10,0
691,10,10,10,10,8,10,10,10,-10,10,-10,10,0,10,10,10,20,29.5,8,120,10,10
692,-10,-10,10,-10,-10,-8,10,10,10,10,10,-10,-10,0,10,10,16,59.5,0,120,0,10
693,0,-10,10,-10,-10,-10,10,-10,-10,-10,0,-10,-10,0,10,-10,10,49.5,-10,20,-10,10
694,-10,10,10,10,8,10,10,10,10,10,-10,10,0,10,10,10,16,39.5,10,120,0,10
695,10,-10,8,-10,-10,8,10,10,10,10,0,10,0,-10,-10,0,16,70,-10,82.5,-10,10
696,10,10,10,10,8,10,-10,10,-10,10,10,10,0,10,10,10,12,29.5,8,35,0,10
